data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Trapani
2020-02-25 18:00:00,0,Trapani
2020-02-26 18:00:00,0,Trapani
2020-02-27 18:00:00,0,Trapani
2020-02-28 18:00:00,0,Trapani
2020-02-29 17:00:00,0,Trapani
2020-03-01 17:00:00,0,Trapani
2020-03-02 17:00:00,0,Trapani
2020-03-03 17:00:00,0,Trapani
2020-03-04 17:00:00,0,Trapani
2020-03-05 17:00:00,0,Trapani
2020-03-06 18:00:00,0,Trapani
2020-03-07 18:00:00,0,Trapani
2020-03-08 18:00:00,0,Trapani
2020-03-09 18:00:00,0,Trapani
2020-03-10 18:00:00,0,Trapani
2020-03-11 17:00:00,2,Trapani
2020-03-12 17:00:00,4,Trapani
2020-03-13 17:00:00,4,Trapani
2020-03-14 17:00:00,4,Trapani
2020-03-15 17:00:00,11,Trapani
2020-03-16 17:00:00,13,Trapani
2020-03-17 17:00:00,14,Trapani
2020-03-18 17:00:00,16,Trapani
2020-03-19 17:00:00,21,Trapani
2020-03-20 17:00:00,27,Trapani
2020-03-21 17:00:00,27,Trapani
2020-03-22 17:00:00,32,Trapani
2020-03-23 17:00:00,42,Trapani
2020-03-24 17:00:00,43,Trapani
2020-03-25 17:00:00,48,Trapani
2020-03-26 17:00:00,49,Trapani
2020-03-27 17:00:00,61,Trapani
2020-03-28 17:00:00,62,Trapani
2020-03-29 17:00:00,71,Trapani
2020-03-30 17:00:00,71,Trapani
2020-03-31 17:00:00,73,Trapani
2020-04-01 17:00:00,75,Trapani
2020-04-02 17:00:00,80,Trapani
2020-04-03 17:00:00,81,Trapani
2020-04-04 17:00:00,94,Trapani
2020-04-05 17:00:00,98,Trapani
2020-04-06 17:00:00,104,Trapani
2020-04-07 17:00:00,109,Trapani
2020-04-08 17:00:00,114,Trapani
2020-04-09 17:00:00,116,Trapani
2020-04-10 17:00:00,120,Trapani
2020-04-11 17:00:00,125,Trapani
2020-04-12 17:00:00,129,Trapani
2020-04-13 17:00:00,131,Trapani
2020-04-14 17:00:00,133,Trapani
2020-04-15 17:00:00,134,Trapani
2020-04-16 17:00:00,135,Trapani
2020-04-17 17:00:00,135,Trapani
2020-04-18 17:00:00,135,Trapani
2020-04-19 17:00:00,135,Trapani
2020-04-20 17:00:00,135,Trapani
2020-04-21 17:00:00,135,Trapani
2020-04-22 17:00:00,135,Trapani
2020-04-23 17:00:00,135,Trapani
2020-04-24 17:00:00,135,Trapani
2020-04-25 17:00:00,135,Trapani
2020-04-26 17:00:00,136,Trapani
2020-04-27 17:00:00,137,Trapani
2020-04-28 17:00:00,139,Trapani
2020-04-29 17:00:00,139,Trapani
2020-04-30 17:00:00,139,Trapani
2020-05-01 17:00:00,139,Trapani
2020-05-02 17:00:00,139,Trapani
2020-05-03 17:00:00,139,Trapani
2020-05-04 17:00:00,139,Trapani
2020-05-05 17:00:00,139,Trapani
2020-05-06 17:00:00,139,Trapani
2020-05-07 17:00:00,139,Trapani
2020-05-08 17:00:00,139,Trapani
2020-05-09 17:00:00,139,Trapani
2020-05-10 17:00:00,139,Trapani
2020-05-11 17:00:00,139,Trapani
2020-05-12 17:00:00,139,Trapani
2020-05-13 17:00:00,139,Trapani
2020-05-14 17:00:00,139,Trapani
2020-05-15 17:00:00,139,Trapani
2020-05-16 17:00:00,139,Trapani
2020-05-17 17:00:00,139,Trapani
2020-05-18 17:00:00,139,Trapani
2020-05-19 17:00:00,139,Trapani
2020-05-20 17:00:00,139,Trapani
2020-05-21 17:00:00,139,Trapani
2020-05-22 17:00:00,139,Trapani
2020-05-23 17:00:00,139,Trapani
2020-05-24 17:00:00,139,Trapani
2020-05-25 17:00:00,139,Trapani
2020-05-26 17:00:00,139,Trapani
2020-05-27 17:00:00,139,Trapani
2020-05-28 17:00:00,139,Trapani
2020-05-29 17:00:00,140,Trapani
2020-05-30 17:00:00,140,Trapani
2020-05-31 17:00:00,140,Trapani
2020-06-01 17:00:00,140,Trapani
2020-06-02 17:00:00,140,Trapani
2020-06-03 17:00:00,140,Trapani
2020-06-04 17:00:00,140,Trapani
2020-06-05 17:00:00,141,Trapani
2020-06-06 17:00:00,142,Trapani
2020-06-07 17:00:00,142,Trapani
2020-06-08 17:00:00,142,Trapani
2020-06-09 17:00:00,142,Trapani
2020-06-10 17:00:00,142,Trapani
2020-06-11 17:00:00,142,Trapani
2020-06-12 17:00:00,142,Trapani
2020-06-13 17:00:00,142,Trapani
2020-06-14 17:00:00,142,Trapani
2020-06-15 17:00:00,142,Trapani
2020-06-16 17:00:00,142,Trapani
2020-06-17 17:00:00,143,Trapani
2020-06-18 17:00:00,143,Trapani
2020-06-19 17:00:00,136,Trapani
2020-06-20 17:00:00,136,Trapani
2020-06-21 17:00:00,136,Trapani
2020-06-22 17:00:00,136,Trapani
2020-06-23 17:00:00,136,Trapani
2020-06-24 17:00:00,136,Trapani
2020-06-25 17:00:00,136,Trapani
2020-06-26 17:00:00,136,Trapani
2020-06-27 17:00:00,136,Trapani
2020-06-28 17:00:00,136,Trapani
2020-06-29 17:00:00,136,Trapani
2020-06-30 17:00:00,136,Trapani
2020-07-01 17:00:00,136,Trapani
2020-07-02 17:00:00,137,Trapani
2020-07-03 17:00:00,137,Trapani
2020-07-04 17:00:00,137,Trapani
2020-07-05 17:00:00,137,Trapani
2020-07-06 17:00:00,137,Trapani
2020-07-07 17:00:00,137,Trapani
2020-07-08 17:00:00,137,Trapani
2020-07-09 17:00:00,137,Trapani
2020-07-10 17:00:00,137,Trapani
2020-07-11 17:00:00,137,Trapani
2020-07-12 17:00:00,137,Trapani
2020-07-13 17:00:00,137,Trapani
2020-07-14 17:00:00,137,Trapani
2020-07-15 17:00:00,137,Trapani
2020-07-16 17:00:00,137,Trapani
2020-07-17 17:00:00,137,Trapani
2020-07-18 17:00:00,137,Trapani
2020-07-19 17:00:00,137,Trapani
2020-07-20 17:00:00,137,Trapani
2020-07-21 17:00:00,137,Trapani
2020-07-22 17:00:00,137,Trapani
2020-07-23 17:00:00,137,Trapani
2020-07-24 17:00:00,137,Trapani
2020-07-25 17:00:00,137,Trapani
2020-07-26 17:00:00,138,Trapani
2020-07-27 17:00:00,138,Trapani
2020-07-28 17:00:00,138,Trapani
2020-07-29 17:00:00,139,Trapani
2020-07-30 17:00:00,139,Trapani
2020-07-31 17:00:00,139,Trapani
2020-08-01 17:00:00,139,Trapani
2020-08-02 17:00:00,139,Trapani
2020-08-03 17:00:00,139,Trapani
2020-08-04 17:00:00,139,Trapani
2020-08-05 17:00:00,139,Trapani
2020-08-06 17:00:00,139,Trapani
2020-08-07 17:00:00,139,Trapani
2020-08-08 17:00:00,139,Trapani
2020-08-09 17:00:00,140,Trapani
2020-08-10 17:00:00,140,Trapani
2020-08-11 17:00:00,140,Trapani
2020-08-12 17:00:00,141,Trapani
2020-08-13 17:00:00,141,Trapani
2020-08-14 17:00:00,141,Trapani
2020-08-15 17:00:00,142,Trapani
2020-08-16 17:00:00,150,Trapani
2020-08-17 17:00:00,150,Trapani
2020-08-18 17:00:00,150,Trapani
2020-08-19 17:00:00,151,Trapani
2020-08-20 17:00:00,151,Trapani
2020-08-21 17:00:00,151,Trapani
2020-08-22 17:00:00,152,Trapani
2020-08-23 17:00:00,152,Trapani
2020-08-24 17:00:00,152,Trapani
2020-08-25 17:00:00,152,Trapani
2020-08-26 17:00:00,156,Trapani
2020-08-27 17:00:00,156,Trapani
2020-08-28 17:00:00,156,Trapani
2020-08-29 17:00:00,159,Trapani
2020-08-30 17:00:00,160,Trapani
2020-08-31 17:00:00,161,Trapani
2020-09-01 17:00:00,169,Trapani
2020-09-02 17:00:00,169,Trapani
2020-09-03 17:00:00,197,Trapani
2020-09-04 17:00:00,206,Trapani
2020-09-05 17:00:00,243,Trapani
2020-09-06 17:00:00,248,Trapani
2020-09-07 17:00:00,248,Trapani
2020-09-08 17:00:00,289,Trapani
2020-09-09 17:00:00,299,Trapani
