data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Crotone
2020-02-25 18:00:00,0,Crotone
2020-02-26 18:00:00,0,Crotone
2020-02-27 18:00:00,0,Crotone
2020-02-28 18:00:00,0,Crotone
2020-02-29 17:00:00,0,Crotone
2020-03-01 17:00:00,0,Crotone
2020-03-02 17:00:00,0,Crotone
2020-03-03 17:00:00,0,Crotone
2020-03-04 17:00:00,0,Crotone
2020-03-05 17:00:00,0,Crotone
2020-03-06 18:00:00,0,Crotone
2020-03-07 18:00:00,0,Crotone
2020-03-08 18:00:00,0,Crotone
2020-03-09 18:00:00,0,Crotone
2020-03-10 18:00:00,0,Crotone
2020-03-11 17:00:00,1,Crotone
2020-03-12 17:00:00,6,Crotone
2020-03-13 17:00:00,7,Crotone
2020-03-14 17:00:00,5,Crotone
2020-03-15 17:00:00,17,Crotone
2020-03-16 17:00:00,17,Crotone
2020-03-17 17:00:00,21,Crotone
2020-03-18 17:00:00,23,Crotone
2020-03-19 17:00:00,39,Crotone
2020-03-20 17:00:00,45,Crotone
2020-03-21 17:00:00,50,Crotone
2020-03-22 17:00:00,61,Crotone
2020-03-23 17:00:00,62,Crotone
2020-03-24 17:00:00,66,Crotone
2020-03-25 17:00:00,71,Crotone
2020-03-26 17:00:00,80,Crotone
2020-03-27 17:00:00,80,Crotone
2020-03-28 17:00:00,87,Crotone
2020-03-29 17:00:00,90,Crotone
2020-03-30 17:00:00,93,Crotone
2020-03-31 17:00:00,93,Crotone
2020-04-01 17:00:00,94,Crotone
2020-04-02 17:00:00,94,Crotone
2020-04-03 17:00:00,106,Crotone
2020-04-04 17:00:00,106,Crotone
2020-04-05 17:00:00,109,Crotone
2020-04-06 17:00:00,111,Crotone
2020-04-07 17:00:00,112,Crotone
2020-04-08 17:00:00,113,Crotone
2020-04-09 17:00:00,113,Crotone
2020-04-10 17:00:00,113,Crotone
2020-04-11 17:00:00,113,Crotone
2020-04-12 17:00:00,117,Crotone
2020-04-13 17:00:00,117,Crotone
2020-04-14 17:00:00,117,Crotone
2020-04-15 17:00:00,117,Crotone
2020-04-16 17:00:00,117,Crotone
2020-04-17 17:00:00,117,Crotone
2020-04-18 17:00:00,117,Crotone
2020-04-19 17:00:00,117,Crotone
2020-04-20 17:00:00,117,Crotone
2020-04-21 17:00:00,117,Crotone
2020-04-22 17:00:00,117,Crotone
2020-04-23 17:00:00,117,Crotone
2020-04-24 17:00:00,117,Crotone
2020-04-25 17:00:00,117,Crotone
2020-04-26 17:00:00,117,Crotone
2020-04-27 17:00:00,117,Crotone
2020-04-28 17:00:00,117,Crotone
2020-04-29 17:00:00,118,Crotone
2020-04-30 17:00:00,118,Crotone
2020-05-01 17:00:00,118,Crotone
2020-05-02 17:00:00,118,Crotone
2020-05-03 17:00:00,118,Crotone
2020-05-04 17:00:00,118,Crotone
2020-05-05 17:00:00,118,Crotone
2020-05-06 17:00:00,118,Crotone
2020-05-07 17:00:00,118,Crotone
2020-05-08 17:00:00,118,Crotone
2020-05-09 17:00:00,118,Crotone
2020-05-10 17:00:00,118,Crotone
2020-05-11 17:00:00,118,Crotone
2020-05-12 17:00:00,118,Crotone
2020-05-13 17:00:00,118,Crotone
2020-05-14 17:00:00,118,Crotone
2020-05-15 17:00:00,118,Crotone
2020-05-16 17:00:00,118,Crotone
2020-05-17 17:00:00,118,Crotone
2020-05-18 17:00:00,118,Crotone
2020-05-19 17:00:00,118,Crotone
2020-05-20 17:00:00,118,Crotone
2020-05-21 17:00:00,118,Crotone
2020-05-22 17:00:00,118,Crotone
2020-05-23 17:00:00,118,Crotone
2020-05-24 17:00:00,118,Crotone
2020-05-25 17:00:00,118,Crotone
2020-05-26 17:00:00,118,Crotone
2020-05-27 17:00:00,118,Crotone
2020-05-28 17:00:00,118,Crotone
2020-05-29 17:00:00,118,Crotone
2020-05-30 17:00:00,118,Crotone
2020-05-31 17:00:00,118,Crotone
2020-06-01 17:00:00,118,Crotone
2020-06-02 17:00:00,118,Crotone
2020-06-03 17:00:00,118,Crotone
2020-06-04 17:00:00,118,Crotone
2020-06-05 17:00:00,118,Crotone
2020-06-06 17:00:00,118,Crotone
2020-06-07 17:00:00,118,Crotone
2020-06-08 17:00:00,118,Crotone
2020-06-09 17:00:00,118,Crotone
2020-06-10 17:00:00,118,Crotone
2020-06-11 17:00:00,118,Crotone
2020-06-12 17:00:00,118,Crotone
